dialogue_id,context,response,domain,user_intents,user_slots,context_len,response_len
PMUL4398.json,i need a place to dine in the center thats expensive,"i have several options for you; do you prefer african, asian, or british food?","restaurant, hotel","['find_restaurant', 'find_hotel']","{'restaurant-area': 'centre', 'restaurant-pricerange': 'expensive'}",11,14
PMUL4398.json,"any sort of food would be fine, as long as it is a bit expensive. could i get the phone number for your recommendation?",there is an afrian place named bedouin in the centre. how does that sound?,"restaurant, hotel","['find_restaurant', 'find_hotel']","{'restaurant-area': 'centre', 'restaurant-pricerange': 'expensive'}",24,14
PMUL4398.json,"sounds good, could i get that phone number? also, could you recommend me an expensive hotel?","bedouin's phone is 01223367660. as far as hotels go, i recommend the university arms hotel in the center of town.","restaurant, hotel","['find_restaurant', 'find_hotel']","{'restaurant-area': 'centre', 'restaurant-name': 'bedouin', 'restaurant-pricerange': 'expensive', 'hotel-pricerange': 'expensive', 'hotel-type': 'hotel'}",16,20
PMUL4398.json,yes. can you book it for me?,"sure, when would you like that reservation?","restaurant, hotel",['find_hotel'],"{'restaurant-area': 'centre', 'restaurant-name': 'bedouin', 'restaurant-pricerange': 'expensive', 'hotel-name': 'university arms hotel', 'hotel-pricerange': 'expensive', 'hotel-type': 'hotel'}",7,7
PMUL4398.json,i want to book it for 2 people and 2 nights starting from saturday.,your booking was successful. your reference number is frgzwql2 . may i help you further?,"restaurant, hotel",['book_hotel'],"{'restaurant-area': 'centre', 'restaurant-name': 'bedouin', 'restaurant-pricerange': 'expensive', 'hotel-bookday': 'saturday', 'hotel-bookpeople': '2', 'hotel-bookstay': '2', 'hotel-name': 'university arms hotel', 'hotel-pricerange': 'expensive', 'hotel-type': 'hotel'}",14,15
PMUL4398.json,"that is all i need to know. thanks, good bye.",thank you so much for cambridge towninfo centre. have a great day!,"restaurant, hotel",[],"{'restaurant-area': 'centre', 'restaurant-name': 'bedouin', 'restaurant-pricerange': 'expensive', 'hotel-bookday': 'saturday', 'hotel-bookpeople': '2', 'hotel-bookstay': '2', 'hotel-name': 'university arms hotel', 'hotel-pricerange': 'expensive', 'hotel-type': 'hotel'}",10,12
SNG1013.json,"guten tag, i am staying overnight in cambridge and need a place to sleep. i need free parking and internet.",i have 4 different options for you. i have two cheaper guesthouses and two expensive hotels. do you have a preference?,hotel,['find_hotel'],"{'hotel-area': 'centre', 'hotel-internet': 'yes', 'hotel-parking': 'yes'}",20,21
SNG1013.json,"no, but i'd really like to be on the south end of the city. do any of those fit the bill?",sure. does price matter? we can narrow it down and find exactly what you need.,hotel,"['find_hotel', 'find_restaurant']","{'hotel-area': 'south', 'hotel-internet': 'yes', 'hotel-parking': 'yes'}",21,15
SNG1013.json,no i don't care about the price. which one do you recommend?,i would recommend aylesbray lodge guest house. would you like me to book that for you?,hotel,"['find_hotel', 'find_restaurant']","{'hotel-area': 'south', 'hotel-internet': 'yes', 'hotel-parking': 'yes'}",12,16
SNG1013.json,"yes, book it for 4 people and 4 nights starting from tuesday.",the booking was unsuccessful. would you like another day or a shorter stay?,hotel,['book_hotel'],"{'hotel-area': 'south', 'hotel-bookday': 'tuesday', 'hotel-bookpeople': '4', 'hotel-bookstay': '4', 'hotel-internet': 'yes', 'hotel-parking': 'yes'}",12,13
